BirthYear;Country;Name;Gender;NumberOfName;Order
2020;TÜRKİYE;HÜLYA;Kadın;197599;15
2020;TÜRKİYE;MELEK;Kadın;193255;16
2020;TÜRKİYE;KÜBRA;Kadın;189622;17
2020;TÜRKİYE;DİLEK;Kadın;189451;18
2020;TÜRKİYE;RABİA;Kadın;181422;19
2020;TÜRKİYE;LEYLA;Kadın;180535;20
2020;TÜRKİYE;SONGÜL;Kadın;179561;21
2020;TÜRKİYE;AYSEL;Kadın;168522;22
2020;TÜRKİYE;SEVİM;Kadın;168045;23
2020;TÜRKİYE;FADİME;Kadın;164934;24
2020;TÜRKİYE;HACER;Kadın;164527;25
2020;TÜRKİYE;TUĞBA;Kadın;160237;26
2020;TÜRKİYE;ŞERİFE;Kadın;159382;27
2020;TÜRKİYE;HAVVA;Kadın;158751;28
2020;TÜRKİYE;AYNUR;Kadın;157329;29
2020;TÜRKİYE;AYŞEGÜL;Kadın;151001;30
2019;TÜRKİYE;FATMA;Kadın;1226885;1
2019;TÜRKİYE;AYŞE;Kadın;957755;2
2019;TÜRKİYE;EMİNE;Kadın;822033;3
2019;TÜRKİYE;HATİCE;Kadın;741967;4
2019;TÜRKİYE;ZEYNEP;Kadın;671712;5
2019;TÜRKİYE;ELİF;Kadın;531567;6
2019;TÜRKİYE;MERYEM;Kadın;309824;7
2019;TÜRKİYE;MERVE;Kadın;289144;8
2019;TÜRKİYE;ZEHRA;Kadın;260175;9
2019;TÜRKİYE;ESRA;Kadın;245560;10
2019;TÜRKİYE;ÖZLEM;Kadın;233919;11
2019;TÜRKİYE;YASEMİN;Kadın;210529;12
2019;TÜRKİYE;BÜŞRA;Kadın;207888;13
2019;TÜRKİYE;SULTAN;Kadın;200474;14
2019;TÜRKİYE;HÜLYA;Kadın;197479;15
2019;TÜRKİYE;MELEK;Kadın;191147;16
2019;TÜRKİYE;DİLEK;Kadın;189318;17
2019;TÜRKİYE;KÜBRA;Kadın;188525;18
2019;TÜRKİYE;RABİA;Kadın;180399;19
2019;TÜRKİYE;LEYLA;Kadın;180056;20
2019;TÜRKİYE;SONGÜL;Kadın;179306;21
2019;TÜRKİYE;SEVİM;Kadın;169404;22
2019;TÜRKİYE;AYSEL;Kadın;169039;23
2019;TÜRKİYE;FADİME;Kadın;166391;24
2019;TÜRKİYE;HACER;Kadın;165341;25
2019;TÜRKİYE;ŞERİFE;Kadın;161515;26
2019;TÜRKİYE;TUĞBA;Kadın;159752;27
2019;TÜRKİYE;HAVVA;Kadın;159641;28
2019;TÜRKİYE;AYNUR;Kadın;157402;29
2019;TÜRKİYE;HANİFE;Kadın;151557;30
2018;TÜRKİYE;FATMA;Kadın;1235828;1
2018;TÜRKİYE;AYŞE;Kadın;963428;2
2018;TÜRKİYE;EMİNE;Kadın;827316;3
2018;TÜRKİYE;HATİCE;Kadın;745087;4
2018;TÜRKİYE;ZEYNEP;Kadın;659726;5
2018;TÜRKİYE;ELİF;Kadın;523574;6
2018;TÜRKİYE;MERYEM;Kadın;306264;7
